,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
891,VCB,20191113,70177.0484523833,70177.0484523833,68502.5418732592,68883.11155033285,706550
892,VCB,20191112,69568.13696906544,70100.93451696857,69492.02303365071,69796.47877530965,595820
893,VCB,20191111,69872.59271072438,69872.59271072438,69263.68122740652,69492.02303365071,534260
894,VCB,20191108,69492.02303365071,69948.70664613911,69111.45335657705,69644.25090448018,815600
895,VCB,20191107,69263.68122740652,69948.70664613911,69263.68122740652,69492.02303365071,403850
896,VCB,20191106,69111.45335657705,70253.16238779803,69035.33942116232,69263.68122740652,905230
897,VCB,20191105,70100.93451696857,70405.3902586275,69035.33942116232,69111.45335657705,754630
898,VCB,20191104,67969.74432535606,70405.3902586275,67969.74432535606,70024.82058155384,1134260
899,VCB,20191101,66751.92135872034,68045.8582607708,66599.69348789088,67589.17464828241,1125990
900,VCB,20191031,67056.37710037928,67360.8328420382,66675.80742330561,66751.92135872034,754930
901,VCB,20191030,65534.09839208463,67132.49103579401,65534.09839208463,66828.03529413507,854260
902,VCB,20191029,66523.57955247615,66599.69348789088,65686.3262629141,65762.44019832883,1125620
903,VCB,20191028,66980.26316496455,67132.49103579401,66523.57955247615,66523.57955247615,857400
904,VCB,20191025,66143.00987540248,67360.8328420382,65914.66806915829,66980.26316496455,918490
905,VCB,20191024,64925.186908766766,66219.12381081721,64772.9590379373,66143.00987540248,762650
906,VCB,20191023,65077.41477959624,65305.75658584043,64392.38936086364,64925.186908766766,938120
907,VCB,20191022,64087.93361920471,65305.75658584043,64087.93361920471,65001.300844181496,966120
908,VCB,20191021,64620.73116710784,64620.73116710784,63631.25000671631,64087.93361920471,650890
909,VCB,20191018,65077.41477959624,65305.75658584043,64544.617231693104,64696.84510252257,530190
910,VCB,20191017,65762.44019832883,65762.44019832883,64544.617231693104,64849.07297335204,1051890
911,VCB,20191016,65610.21232749936,65686.3262629141,65229.642650425696,65534.09839208463,1069660
912,VCB,20191015,64696.84510252257,65001.300844181496,64468.50329627837,64849.07297335204,713400
913,VCB,20191014,65077.41477959624,65457.984456669896,64696.84510252257,64696.84510252257,620800
914,VCB,20191011,64316.275425448905,65001.300844181496,64240.161490034174,64925.186908766766,760280
915,VCB,20191010,64620.73116710784,64849.07297335204,64316.275425448905,64392.38936086364,846690
916,VCB,20191009,64772.9590379373,65229.642650425696,64316.275425448905,64316.275425448905,860160
917,VCB,20191008,63022.33852339846,64925.186908766766,63022.33852339846,64772.9590379373,1461940
918,VCB,20191007,63935.70574837524,64316.275425448905,63022.33852339846,63022.33852339846,1205390
919,VCB,20191004,62413.4270400806,63555.13607130158,62261.19916925113,63174.56639422792,1177660
920,VCB,20191003,62261.19916925113,62413.4270400806,61347.831944274345,62413.4270400806,1927610
921,VCB,20191002,63479.02213588685,63707.36394213105,62185.0852338364,62413.4270400806,1224650
922,VCB,20191001,62489.54097549533,63631.25000671631,62261.19916925113,63479.02213588685,1280100
923,VCB,20190930,63098.45245881319,63402.90820047212,62337.31310466587,62489.54097549533,845770
924,VCB,20190927,61880.62949217747,63250.68032964265,61500.05981510381,63098.45245881319,1388490
925,VCB,20190926,61423.94587968908,61880.62949217747,61119.49013803015,61652.28768593328,1204790
926,VCB,20190925,60891.148331785946,61576.17375051854,60434.46471929755,61423.94587968908,783340
927,VCB,20190924,60510.57865471229,61500.05981510381,60053.89504222389,61347.831944274345,791470
928,VCB,20190923,62108.97129842167,62337.31310466587,60130.00897763862,60130.00897763862,1187100
929,VCB,20190920,62032.85736300694,63022.33852339846,61652.28768593328,61652.28768593328,2881700
930,VCB,20190919,61652.28768593328,62185.0852338364,61271.71800885961,62032.85736300694,527230
931,VCB,20190918,61728.401621348006,62793.99671715426,61271.71800885961,61347.831944274345,1009820
932,VCB,20190917,61423.94587968908,61880.62949217747,61271.71800885961,61728.401621348006,896290
933,VCB,20190916,62337.31310466587,62946.22458798372,61500.05981510381,61652.28768593328,782310
934,VCB,20190913,60738.92046095648,62413.4270400806,60738.92046095648,62337.31310466587,1433780
935,VCB,20190912,59749.43930056496,60510.57865471229,59749.43930056496,60510.57865471229,1020240
936,VCB,20190911,58836.07207558817,59749.43930056496,58836.07207558817,59521.09749432076,226450
937,VCB,20190910,58759.95814017344,60282.23684846809,58683.84420475871,59140.5278172471,675950
938,VCB,20190909,58836.07207558817,58912.1860110029,58607.73026934398,58759.95814017344,236440
939,VCB,20190906,59368.8696234913,59368.8696234913,58607.73026934398,58836.07207558817,372990
940,VCB,20190905,58759.95814017344,59977.78110680916,58759.95814017344,59064.41388183237,432900
941,VCB,20190904,58988.29994641764,58988.29994641764,58531.61633392924,58836.07207558817,527770
942,VCB,20190903,59216.64175266183,59292.75568807657,58379.38846309978,59216.64175266183,665830
943,VCB,20190830,58607.73026934398,59140.5278172471,58607.73026934398,59140.5278172471,280130
944,VCB,20190829,58531.61633392924,58912.1860110029,58227.16059227031,58455.50239851451,422240
945,VCB,20190828,58455.50239851451,58836.07207558817,58455.50239851451,58607.73026934398,908810
946,VCB,20190827,59521.09749432076,59977.78110680916,57846.59091519665,58227.16059227031,1269440
947,VCB,20190826,59521.09749432076,59825.55323597969,58988.29994641764,59216.64175266183,672220
